1424297947659915266;"""Le problème est que les gens qu'on entend le plus critiquer le pass sanitaire dans les médias le font par méfiance envers la vaccination. Or ce n'est pas parce que la vaccination serait dangereuse ou inefficace que le pass est potentiellement une catastrophe, mais le contraire.";;;;;;;;;;;;;;;;;;;;;;;;
1424297948901478406;Ouvrir twitter, voir des tweets hallucinant de conneries des #antivax , quitter twitter .....j'en peux plus des ces débiles 🥴;;;;;;;;;;;;;;;;;;;;;;;;
1424298180166946818;"Quelle cata l’info en continu @BFMTV @CNEWS @LCI @franceinfo on en croit pas ses oreilles !  
Le pass sanitaire poserait des problèmes ? Ça prend 10 secondes…
Et on invite que des anti-tout. 
Une désinformation organisée.
La nullité médiatique.";;;;;;;;;;;;;;;;;;;;;;;;
1424298709492256768;"Le fait que les vaccins COVID actuels n'empêchent pas la contamination, rend le pass dit ""sanitaire"" encore plus absurde.";;;;;;;;;;;;;;;;;;;;;;;;
1424298848307105796;nn mais à croire c ma faute si y a le pass sanitaire, j'me suis fait engueuler tte la journée par des clients qui l'avaient pas et qui pouvaient pas boire leurs bières trql, frr t fini à la pisse ou bien;;;;;;;;;;;;;;;;;;;;;;;;
1424299159734177796;"Le Delta atteint de plus en plus de jeunes et d'enfants dans le monde.

 - Et si on arrêtait de polémiquer sur le pass sanitaire ?
 - Et si on arrêtait de se moquer des antivax, et qu'à la place on fournissait des réponses étayées à leurs doutes et à leurs peurs ?

🙏🙏🙏";;;;;;;;;;;;;;;;;;;;;;;;
1424299173038501895;"Entre un pass Sanitaire Obligatoire, une divergence muselée, des chaînes d’informations qui stigmatisent les personnes, les syndicats qui ne font rien à ce jour, une gestion humaine juste exécrable,.
Pourquoi, nous n’étendons pas les spécialistes médicaux avec un réel débat viral";;;;;;;;;;;;;;;;;;;;;;;;
1424299454396522496;déjà 25 personnes refusées ce matin/midi au restaurant pour non pass sanitaire valide, ça fait flipper;;;;;;;;;;;;;;;;;;;;;;;;
1424299599683063820;Personne vend des Pass sanitaire ?;;;;;;;;;;;;;;;;;;;;;;;;
1424299840595537925;Quelle excuse ils vont trouver le 16 novembre pour prolonger le PASS Sanitaire ? #GGRMC;;;;;;;;;;;;;;;;;;;;;;;;
1424299890436366337;Le padre qui ne veut ni se faire vacciner, ni se faire tester et qui veut prendre en photo le QR code de mon pass sanitaire … 🤡;;;;;;;;;;;;;;;;;;;;;;;;
1424299905766543360;Je ne suis pas juif, la preuve j'ai un ami #antivax !;;;;;;;;;;;;;;;;;;;;;;;;
1424299938574479365;Extension du pass sanitaire : ce qu'en pensent les patrons de bars et de restaurants à Quimper;;;;;;;;;;;;;;;;;;;;;;;;
1424299952486944772;"@ les antivax
Oui, vous avez le droit de vous suicider en ne vous vaccinant pas, mais en agissant de la sorte vous portez atteinte a la vie d autrui en les contaminant et en les condamnant peut etre a mort. Ou s arrete notre liberte ?";;;;;;;;;;;;;;;;;;;;;;;;
1424300030903693315;Bonjour c’est pour un test antigenique pour le pass sanitaire, je veux venir tous les 3 jours je fais comment? Faites-vous  vacciner! Olala non non je préfère que l’on me trifouille le nez ! Oh lui on va aller jusqu’au cerveau bon pas sur qu’il y ait une butée hein 🤦‍♀️;;;;;;;;;;;;;;;;;;;;;;;;
1424300084091625473;"Ce midi  j’étais dans un très bon restau, il était complet comme tous les jours; il faut réserver à l’avance. J’ai demandé  au serveur, vous avez des réservations pour la semaine prochaine, il me dit: Pas  une seule,c’est une catastrophe pour nous ce pass-sanitaire .Triste non ?";;;;;;;;;;;;;;;;;;;;;;;;
1424300112755449860;Allons plus loin que le pass sanitaire, réservons les endroits chics aux gens qui ont le pass American express gold;;;;;;;;;;;;;;;;;;;;;;;;
1424300182183743490;"J'ai une question : tu entres dans un bar avec ton pass ""sanitaire"" que tu montres sur ton téléphone. Tu es donc en règle. Puis, la police vient te contrôler et tu n'as malheureusement plus de batterie. Que se passe-t-il?";;;;;;;;;;;;;;;;;;;;;;;;
1424300221094404098;"Franchement envie d’aller manifester avec les antivax là…
Ce vaccin m’a vraiment déçu, je suis pas devenu magneto, aucun effet secondaire, rien, même après la seconde dose, je veux être remboursé 🤬";;;;;;;;;;;;;;;;;;;;;;;;
1424300413487099905;Vous cassez les couilles avec le pass sanitaire;;;;;;;;;;;;;;;;;;;;;;;;
1424300482617544707;"Tout mon soutien à mon collègue @sebastienfagnen pris à partie au cris ""d'élu collabo"" et menacé par des opposants au pass sanitaire alors qu'il était en terrasse avec un ami.
Le port de l'étoile jaune est inacceptable, merci Sébastien de le réaffirmer avec conviction.";;;;;;;;;;;;;;;;;;;;;;;;
1424300490150535173;PTDRRRR toute cette zumba de pass sanitaire ils ont vérifié que dalle;;;;;;;;;;;;;;;;;;;;;;;;
1424300582395863040;Pass sanitaire vérifié ce midi au resto ! On n'oublie pas les gestes barrières, et surtout... De bien manger 🤤;;;;;;;;;;;;;;;;;;;;;;;;
1424300875447742466;"Depuis Bastia réservation mercredi dans un appart-hôtel : retrouver des cousins sur Ajaccio
Hier on nous appelle pour nous informer qu’il faut un pass-sanitaire pour l’établissement, restau et piscine
Évidemment nous avons annulé illico😂🤣
U ma cugina carnale venerà in Bastia";;;;;;;;;;;;;;;;;;;;;;;;
1424300881747619841;AnTitOu c'est le nouveau #antivax , facile à brandir qd on explique calmement que même vacciné on veut pas de #PassSanitaire. Ni maintenant ni jamais.;;;;;;;;;;;;;;;;;;;;;;;;
